BluetoothId,Company Name,Device Notes,Tag
0,Ericsson Technology Licensing,,Technology
3,IBM Corp.,,Technology
6,Microsoft,,Technology
76,"Apple, Inc.",,Technology
101,Hewlett-Packard Company,,Technology
117,Samsung Electronics Co. Ltd.,,entertainment
135,"Garmin International, Inc.",,Fitness
147,"Universal Electronics, Inc.",Smart Home,Smart home
196,__LG Electronics_,,entertainment
224,Google,Speaker,Smart
259,Bang & Olufsen A/S,,Music
301,Sony Corporation,,entertainment
343,"Anhui Huami Information Technology Co., Ltd.",,Fitness
409,SALTO SYSTEMS S.L.,Security,Security
637,"HUAWEI Technologies Co., Ltd.",,Technology
784,SGL Italia S.r.l.,Coffee machine? ,Smart home
1023,Withings,Smart watch,Fitness
1042,SEFAM,CPAP data?,Medical
1079,eBest IOT Inc.,,Analytics
1447,Sonos Inc,,Music
2000,"Hangzhou Tuya Information  Technology Co., Ltd",,Smart home
2059,Nanoleaf Canada Limited,,Smart home
2561,Cleveron AS,,Storage
2817,,,
3073,LE-Black Storm,Entertainment in bike?,Automotive
3787,JBL LIVE500BT-LE,,Music
4780,,,
9474,Venus_2C4CC6086117,speaker?,entertainment
12360,Dimplex,AH4649<Dimplex>,Smart home
14129,,,
16896,Huawei,HUAWEI FreeBuds 3i,Music
17740,Samsung,LEVEL-DC5A6658F0CA - Samsung,Music
19456,,,
24576,SnowLeopard,Tw64,Fitness
34817,Govee,iHoment,Smart home
38524,,,
45821,Nextbase,Dashcam,automotive
65535,Ember Ceramic Mug,,Household